RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
394460,"Chattanooga, TN",95,118800,117700,117900,117400,118300,117100,117300,119100,120100,118300,116500,116800,117200,119200,116000,116700,115700,118300,118600,118700,120600,120100,119500,114400,114400,114300,117400,116200,114100,114800,112500,115900,115100,118100,111900,107900,107700,110400,112500,110700,109300,108800,110400,109500,109600,109600,110500,114200,114300,113900,110000,111100,114400,115900,116100,118600,121800,120300,117900,112700,115200,116600,121700,122100,123400,122900,121700,120100,119500,122200,120300,121400,118100,120800,122100,123400,123700,122100,123100,126400,130000,131300,130400,131200,131700,134100,134700,135700,135600,136600,139100,136100,135400,132900,135700,136900,139400,138700,138800,142400,144800,147300,146700,149300,148600,146600,145500,145000,149900,152200,153100,151100,150600,152700,153200,155200,153700,157000,160100,164600,164600,159100,155000,155000,156200,157600,159200,159800,163800,164500,171800,170200,169800,169300,171800,175400,177300,178800,176100,175500,176900,183100,185600,191600,
395113,"Spokane, WA",96,174800,171700,169700,170100,170500,170600,166800,166600,168700,171600,173100,172700,172500,169200,161700,159500,160300,160800,159500,159400,160000,164300,162200,165800,163500,161500,156800,154800,157600,161700,159400,158400,157000,160100,155400,155500,152200,154100,146300,148000,150200,150500,149400,149900,151600,152500,150600,152200,154600,152000,151100,147300,152500,154300,158400,158100,163700,163100,161600,157500,156700,157500,157500,158100,159000,158300,159300,157900,158300,158400,155600,156300,153600,158500,157100,159500,158800,162700,164300,166900,166800,164300,162300,166500,170300,172100,169300,170400,172900,173600,172800,176000,176400,177500,175700,176500,179300,180300,183800,182000,184000,184100,186900,186000,186800,190100,192600,189100,185400,185100,192000,196700,197700,198300,199000,200200,202100,203900,209200,210600,212900,213100,214500,215100,215800,218500,218600,222500,227700,232000,240000,240200,245300,239600,241100,241700,247700,249100,252200,254900,260100,263500,270200,276200,282800
395006,"Provo, UT",97,219600,219100,215900,211100,206000,206400,206100,210200,213200,213700,221400,222500,224500,213300,207400,201800,199500,200200,199200,201900,199000,202800,203400,205400,203000,196200,191600,189000,192300,194900,193000,190900,190000,189500,186600,183800,180400,177800,175100,173300,171000,171600,173600,177900,176300,174300,171000,173400,176000,180700,180000,179200,177300,180700,184200,189400,190000,193000,192500,194300,194900,194900,198000,200500,205900,205300,208000,207600,209000,209400,209600,210700,211600,212200,212100,213700,216400,219900,217800,217400,219500,223200,221300,220300,221600,225900,227000,227800,228500,227700,229000,232200,237600,237400,239500,241300,242700,244600,245300,246300,246000,250600,253100,252800,249000,251400,256500,261000,263200,265100,264600,263900,262100,264100,267700,273000,275600,276100,276800,285600,289400,292900,290600,294100,296500,299000,300800,302500,302800,305900,306800,308300,307700,309400,309800,312700,314300,319200,323700,329700,332700,333900,334200,336300,
394768,"Lancaster, PA",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176800,176700,176800,177300,179000,179200,178600,178100,177000,178100,180900,184500,185200,183700,183300,186200,185200,184200,183100,185800,183200,184300,184300,189900,192000,195000,194900,193300,192300,191900,193900,194200,199400,198000,198400,197400,201600,201700,202200,202100,205300,208500,210600,211400,210500,209600,210200,213300,212300,215200,215200,218300,222700,222900,230100,226300,226800,
394871,"Modesto, CA",99,239000,229700,214900,206100,192200,184000,177300,170100,164400,158600,153100,146100,139000,136700,134800,135900,135800,135600,135800,137800,141300,142100,140900,141100,140700,140500,141500,141000,140800,136100,134600,135500,138700,141100,138500,134900,131200,131800,132000,132800,130600,131500,130100,131000,131000,132700,133800,131900,130900,131900,133100,134300,134100,137200,140700,144500,148200,152300,154800,153700,156800,161500,168500,170900,174700,179800,182000,188300,189900,198400,199100,203700,202000,202400,202500,210000,213800,218600,217300,217700,219200,218700,223600,225900,232000,232900,237300,237500,239400,237400,239400,243400,244000,244300,243000,243200,246200,250000,254400,258300,256600,259000,258600,264400,267500,271100,271700,270300,266100,266500,270500,276100,277700,276500,278500,280900,286200,291000,295100,297200,296900,297500,299400,299600,301800,302200,305900,303600,304400,302700,301900,303700,304600,310200,312000,315800,316600,317000,320000,324800,325800,326600,326000,331500,
394997,"Portland, ME",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253000,251000,255700,260900,259500,260100,260200,266600,266100,270000,267100,272100,270900,274900,271300,270000,269400,273300,273700,278100,283800,288700,291000,291600,298800,296600,295100,292400,295500,298300,297100,308000,307100,315800
394549,"Durham, NC",101,189800,181900,175500,174900,173200,174200,176000,185000,180300,166500,157100,163500,171500,174700,171000,170200,171500,175800,178500,177600,173200,175600,174800,182100,181000,181100,173800,173700,178600,188700,188200,187000,179400,175800,173900,173500,174300,176300,175600,177000,174100,171900,172300,166000,166900,160800,164400,174400,176300,177100,166600,173300,176300,178000,179000,177900,178200,170400,167700,166000,172300,178500,183500,183300,180800,178600,177900,180900,178900,177900,180100,182400,180000,176100,177200,181300,181400,184400,184200,188800,194000,196300,200800,197800,200800,196300,197400,199100,201100,199500,202300,200600,202800,202400,204900,204600,203800,200800,202300,203700,212300,214700,214300,213400,213500,215800,208600,208700,207800,218500,220200,224200,226400,229300,232100,231800,232000,229600,231900,238100,243700,244400,239700,236800,236400,237900,240500,240400,245300,251000,250300,254300,251700,259400,253700,253700,251400,251500,257000,258200,265300,264100,264300,266600,
395068,"Santa Rosa, CA",102,445700,422800,412300,394900,379000,364500,355500,345800,332500,321400,311800,306600,301700,297100,297100,296500,306700,312800,321900,327600,335500,340500,339800,338400,331700,326200,326200,326900,330800,333600,342200,335000,327300,323000,321000,317200,300500,295200,294000,295200,302300,300900,307500,303700,304600,296300,301000,304100,309500,308100,300400,307700,311500,331500,336100,345800,342600,349400,351400,360200,366800,373700,379100,387100,402300,408000,412600,411800,418400,422900,420100,422200,430100,433200,436200,430400,437500,440500,446700,444300,448600,450600,458700,459900,462700,468100,475700,480700,485700,488900,491800,491700,496200,497400,505800,511600,517100,517100,517200,521500,518500,519500,521300,532700,536200,546500,549700,553900,554600,558900,561000,560200,561100,564400,569100,575900,596600,617700,626600,634800,640000,648900,636000,626900,618600,622400,620600,620200,611100,606500,605900,612000,607400,603400,596300,600500,597300,612300,613700,623200,613900,614500,615300,619800,
394792,"Lexington, KY",103,140100,139200,136300,134100,132500,134500,137600,138800,135700,132700,132900,134800,136400,136900,135100,135300,133200,134700,133900,136300,136500,137100,136900,135500,140300,140100,142800,139100,136700,135100,133400,138000,144400,147600,145400,141900,139300,138600,135000,134200,134600,136200,137900,135100,134400,132000,135000,132600,133900,131500,133700,136100,137200,136700,134700,138400,140500,138100,134900,131600,131600,131300,133600,135000,135800,135500,137500,137500,137900,135200,135500,134900,135600,133900,133400,135800,138100,139700,138800,139300,140300,141800,140800,142900,145500,146200,146200,145400,147500,148700,149200,150500,149000,150900,152000,153400,153900,155900,156500,157000,155800,155300,155000,156800,161200,159100,158200,156200,158500,158200,158600,158800,160400,162100,164200,163500,162800,165900,167000,172400,173300,176800,175400,175200,172800,171900,171500,171700,176900,177800,180100,176100,175300,176200,175800,177400,175600,177700,179900,188200,191400,189300,188500,188100,194200
394761,"Lafayette, LA",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141600,140800,142700,147400,152400,152300,149700,150300,150300,148800,150100,150200,150200,149800,149700,150100,151200,151900,151400,147800,147200,149100,149500,153200,155600,156300,157500,156800,158800,157700,159300,162000,162600,162800,159100,156800,156300,155600,155400,153900,153800,155900,156600,155400,153400,154300,158300,158900,157500,156500,157000,156800,160300,159600,160000,159300,163000,161800,159100,156700,159900,162900,162100,163000,162100,163000,161800,160900,161000,162100,165800,166400,164600,162800,163300,165300,162900,161700,161700,163600,167800,164300,165500,163400,164800,165800,165700,169400,173300,176700,178100,177300,
